Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,whois,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
1337x.to,0,0,1,3,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
189.cn,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,0,0.0,0
2gis.ru,0,0,1,7,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
abc.go.com,0,0,1,5,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0
abc.go.com,0,0,1,4,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0
abcnews.go.com,0,0,1,3,0,0,0,0,0,1,1,0,0,1,1,0,0.0,0
adultfriendfinder.com,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.0,0
